Type,Area(m2),Price(VNĐ),Bedroom(Phòng),Floor(Tầng),Furniture,Legal,Posting date,District,Project
Nhà riêng,66,,4,3,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,9,Không
Căn hộ chung cư,55,2700000000,1,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,9,Dự án Fuji Residence
Nhà riêng,109,23800000000,5,3,Không có thông tin,Sổ đỏ và sổ hồng,5/15/2025,10,Không
Nhà riêng,92.5,9100000000,4,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/13/2025,7,Không
Nhà riêng,80,7500000000,4,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/14/2025,7,Không
Nhà riêng,107,10500000000,4,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/13/2025,7,Không
Nhà riêng,66,2250000000,3,4,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,9,Không
Nhà riêng,40,,4,4,Không có thông tin,Không có thông tin,5/3/2025,3,Không
Nhà riêng,100,7500000000,5,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,12,Không
"Nhà biệt thự, liền kề",105,18000000000,4,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/12/2025,9,Dự án Verosa Park
Đất bán,80,,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,2,Không
Căn hộ chung cư,90,6800000000,3,3,Nội thất đầy đủ,Không có thông tin,5/2/2025,10,Dự án Xi Grand Court
Nhà riêng,62,,3,4,Không có thông tin,Không có thông tin,5/15/2025,11,Không
Căn hộ chung cư,72,6500000000,2,3,Không có thông tin,Không có thông tin,5/2/2025,3,Dự án Terra Royal
Căn hộ chung cư,58,2550000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,5/3/2025,12,Không
Nhà riêng,55,,4,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/3/2025,3,Không
Nhà riêng,48.4,,3,2,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/3/2025,10,Không
Nhà riêng,48.4,,2,2,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,8,Không
Căn hộ chung cư,86,4400000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,7,Dự án Luxcity
Căn hộ chung cư,45,2000000000,1,3,Nội thất đầy đủ,Hợp đồng mua bán,5/6/2025,7,Không
Nhà riêng,64,,5,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,3,Không
Căn hộ chung cư,220,12000000000,4,3,Không có thông tin,Không có thông tin,4/28/2025,11,Không
Căn hộ chung cư,76.2,3590000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,8,Không
Nhà riêng,50.1,5100000000,4,3,Không có thông tin,Sổ đỏ và sổ hồng,5/10/2025,9,Không
Căn hộ chung cư,76,3600000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,8,Không
Nhà riêng,72.2,,4,3,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,3,Không
Căn hộ chung cư,81,6800000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,5/3/2025,2,Không
Nhà mặt phố,80,12900000000,4,4,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/12/2025,6,Không
Căn hộ chung cư,63,5950000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,2,Không
Căn hộ chung cư,47,1900000000,2,3,Không có thông tin,Sổ đỏ và sổ hồng,5/2/2025,9,Dự án Vinhomes Grand Park
Căn hộ chung cư,90,,3,3,Không có thông tin,Không có thông tin,5/9/2025,9,Dự án The Beverly Solari  - Vinhomes Grand Park
Căn hộ chung cư,75,4500000000,2,3,Không có thông tin,Hợp đồng mua bán,5/13/2025,9,Dự án Lumiere Boulevard
Nhà riêng,28,3600000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/4/2025,7,Không
Nhà mặt phố,80,16000000000,3,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/4/2025,7,Không
Nhà riêng,66.6,7470000000,4,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/4/2025,7,Không
Căn hộ chung cư,91,,3,3,Không có thông tin,Không có thông tin,5/9/2025,9,Dự án Vinhomes Grand Park
Căn hộ chung cư,59,2600000000,2,3,Nội thất đầy đủ,Không có thông tin,5/15/2025,9,Dự án Vinhomes Grand Park
Căn hộ chung cư,59,2700000000,2,3,Không có thông tin,Sổ đỏ và sổ hồng,5/4/2025,9,Dự án Vinhomes Grand Park
Căn hộ chung cư,80,2500000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,9,Dự án Vinhomes Grand Park
Căn hộ chung cư,81,3800000000,3,3,Không có thông tin,Hợp đồng mua bán,5/6/2025,9,Dự án Vinhomes Grand Park
Căn hộ chung cư,66,4800000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/6/2025,7,Dự án Eco Green Sài Gòn
Căn hộ chung cư,67,3100000000,2,3,Không có thông tin,Không có thông tin,5/3/2025,7,Dự án Q7 Saigon Riverside
Căn hộ chung cư,81,3500000000,3,3,Nội thất đầy đủ,Hợp đồng mua bán,5/9/2025,9,Dự án The Origami
